iter	Logloss
0	0.683067069
1	0.6807130994
2	0.6763434336
3	0.6748549475
4	0.6740483869
5	0.673187266
6	0.6729878789
7	0.6720112695
8	0.6719043394
9	0.6699395946
10	0.6690027323
11	0.6680586219
12	0.6673168271
13	0.6666780173
14	0.6662710976
15	0.6661113882
16	0.6655129698
17	0.6652522468
18	0.6650880194
19	0.664760493
20	0.6646233962
21	0.6643445045
22	0.6642558947
23	0.6641483073
24	0.6639181477
25	0.6634295501
26	0.6633246322
27	0.6629994643
28	0.662943424
29	0.6626208988
30	0.6624771533
31	0.6620514233
32	0.6620312217
33	0.6619839548
34	0.6611615576
35	0.6609756953
36	0.6608684227
37	0.6607203062
38	0.6605545195
39	0.6603771134
40	0.6601690412
41	0.6600372872
42	0.6596132377
43	0.6595842762
44	0.6594946733
45	0.6593728477
46	0.6591947645
47	0.6591764844
48	0.6590459613
49	0.6588931208
50	0.6586852521
51	0.6584626639
52	0.6583443944
53	0.658227087
54	0.6581891631
55	0.6580844485
56	0.6580772776
57	0.658044545
58	0.657868415
59	0.6577319631
60	0.6576762819
61	0.6575017208
62	0.6571004792
63	0.6568339595
64	0.6566686043
65	0.656550642
66	0.6563868823
67	0.6561795692
68	0.6561071345
69	0.6560391767
70	0.6560319488
71	0.6560234466
72	0.6559687654
73	0.6559600392
74	0.6557578415
75	0.6557363948
76	0.6556300705
77	0.6555399227
78	0.6555399381
79	0.6554811007
80	0.6554074571
81	0.6553771986
82	0.655293806
83	0.6552577009
84	0.6551907696
85	0.6551514632
86	0.6551151597
87	0.6549986078
88	0.6549191455
89	0.6549029599
90	0.6548972405
91	0.6548314679
92	0.6547898705
93	0.654729199
94	0.6546764898
95	0.6545868164
96	0.654445613
97	0.6544403826
98	0.6543997633
99	0.6542814525
100	0.6542524653
101	0.654182982
102	0.6541342479
103	0.6541053787
104	0.6540002979
105	0.6539229853
106	0.6537827921
107	0.6536827509
108	0.6536092252
109	0.6535139059
110	0.6533065446
111	0.6532965447
112	0.6532959721
113	0.6532158281
114	0.6531695483
115	0.6531497676
116	0.6530895762
117	0.6530642231
118	0.6529914611
119	0.6529656497
120	0.6529394816
121	0.6528234463
122	0.652814417
123	0.6527998969
124	0.6527020765
125	0.6526852165
126	0.6526367825
127	0.6526362435
128	0.6526330732
129	0.6525833181
130	0.6525322813
131	0.6524838477
132	0.6524724463
133	0.6524191315
134	0.6523935045
135	0.6522583483
136	0.6521705385
137	0.6521281727
138	0.652100362
139	0.6520827956
140	0.6520602438
141	0.6520566274
142	0.6519959521
143	0.6519760751
144	0.6519420591
145	0.651889093
146	0.6518394707
147	0.6517915041
148	0.6517364517
149	0.6516928181
150	0.6516679712
151	0.6516545945
152	0.651590091
153	0.6515630772
154	0.6514873997
155	0.6514674485
156	0.6514399458
157	0.651322067
158	0.6512916122
159	0.6511580307
160	0.6510189849
161	0.6509963984
162	0.6509848676
163	0.6509409622
164	0.6509320751
165	0.6509175399
166	0.6508925386
167	0.6508724836
168	0.6508251085
169	0.6507839609
170	0.6507597761
171	0.6507453175
172	0.6506971194
173	0.6506932897
174	0.6506612052
175	0.6506470115
176	0.6506423979
177	0.6506371819
178	0.6506357994
179	0.6506275588
180	0.6506085796
181	0.650600603
182	0.6505887148
183	0.6505505904
184	0.6505250697
185	0.6505125578
186	0.6504793819
187	0.6504543495
188	0.6504261805
189	0.6503985672
190	0.6503626406
191	0.6503356303
192	0.6503310686
193	0.6503132113
194	0.6503067819
195	0.6502973336
196	0.6502795968
197	0.6502719778
198	0.6502397679
199	0.650188269
